Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2035 0.2147 0.2147 0.0799 0.0799 0.035 0.035 0.0201 0 0 0 0. 0.602 0.602 0.
2036 0.427308839176 0.642008839176 0.0614875710961 0.141387571096 0.00824670081449 0.0432467008145 0.0498718908561 0.00266392937114 0 0.00243044772109 0.09721791 1.34332541 1.46320223 0.1504965
2037 0.162869110588 0.804877949764 -0.0310177796242 0.110369791472 0.0505126141278 0.0937593149423 0.0752197969835 0.000973300900491 0 0.0151715733552 0.60686293 1.77224768 1.81604622 0.62632895
2038 0.131736720679 0.936614670443 -0.0222612732204 0.0881085182516 0.0138619308676 0.10762124581 0.102044087125 0 0.000544170951848 0.0157033517093 0.63901749 2.59838463 2.57389693 0.62813407
2039 0.523020969631 1.45963564007 -0.0145396710925 0.0735688471591 -0.0103058720087 0.0973153738013 0.141517381965 0 0.00805451954019 0 0.16109039 4.36633925 4.00388587 0.
2040 0.584280309819 2.04391594989 -0.0794948125882 -0.00592596542914 -0.042648595253 0.0546667785483 0.1827649811 0 0.030480180361 0 0.60960361 5.94015214 4.56854402 0.
2041 0.422949430306 2.4668653802 -0.0217262372878 -0.027652202717 0.0358908926612 0.0905576712095 0.209730300928 0 0.0301600020485 0 0.60320004 6.74430906 5.38710897 0.
2042 0.44017776225 2.90704314245 0.0165471100615 -0.0111050926555 -0.0121842804664 0.0783733907431 0.2402785328 0 0.0302172873673 0 0.60434575 7.66161529 6.30183736 0.
2043 0.598217003634 3.50526014608 -0.0285975800759 -0.0397026727314 -0.0283883498266 0.0499850409165 0.276295722432 0 0.0426898249563 0 0.8537965 8.92921905 7.00817692 0.
2044 0.57863410561 4.08389425169 -0.0768386706529 -0.116541343384 -0.0900056799174 -0.0400206390009 0.308704059879 0 0.0572236495263 0 1.14447299 10.11947654 7.54441231  0.
