Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2035 0.2147 0.2147 0.0799 0.0799 0.035 0.035 0.0201 0 0 0 0. 0.602 0.602 0.
2036 0.379308839176 0.594008839176 0.0558875710961 0.135787571096 0.00824670081449 0.0432467008145 0.0411581615181 0.00253039337114 0 0.00250071972109 0.10002879 1.08381145 1.19767915 0.15063666
2037 0.208441676294 0.80245051547 -0.00777915623157 0.128008414864 0.0876453613671 0.130892062182 0.0588108806695 0.00214135910128 0 0.0243135781214 0.97254312 0.9706783 1.06703946 1.01537031
2038 0.244307371877 1.04675788735 0.0475895059338 0.175597920798 0.0714930867154 0.202385148897 0.0794023773825 0.00583083897586 0 0.0427644677789 1.71057871 0.92421212 1.18659987 1.82719549
2039 0.190422649637 1.23718053699 -0.0582518839872 0.117346036811 -0.026081027108 0.176304121789 0.0999419224988 0 0.00480021249477 0.0207755959107 0.92702809 2.44699299 2.23098342 0.83102384
2040 0.310240725909 1.5474212629 0.0169613323294 0.13430736914 0.0165683412513 0.19287246304 0.126852357252 0 0.00560707397691 0.0313503165438 1.36615414 2.94916733 2.696849 1.25401266
2041 0.358950472182 1.90637173508 0.0305922745775 0.164899643717 -0.024607507488 0.168264955552 0.148127870261 0 0.00600715674886 0.00336572740299 0.25477223 4.43297164 4.16264958 0.1346291
2042 0.0254957639033 1.93186749898 -0.0935977116271 0.0713019320899 0.0132917366342 0.181556692186 0.156307552589 0 0.0195887460546 0.0249729620811 1.3906934 4.23386891 3.35237533 0.99891848
2043 -0.0467556060401 1.88511189294 -0.0992749096853 -0.0279729775954 -0.019281568878 0.162275123308 0.167945055939 0 0.0264027259374 0.0109720689319 0.96693728 5.1052305 3.91710783 0.43888276
2044 -0.0427081328335 1.84240376011 -0.120922516958 -0.148895494554 0.0251608099167 0.187435933225 0.181052896878 0 0.0367845112564 0.033395753881 2.07152038 4.98148196 3.32617895 1.33583016
